iter	Passed	Remaining
399	28901	115605
400	28976	115543
401	29046	115463
402	29123	115410
403	29191	115320
404	29266	115260
405	29340	115192
406	29428	115181
407	29515	115169
408	29586	115090
409	29668	115056
410	29750	115022
411	29823	114952
412	29896	114879
413	29977	114840
414	30054	114785
415	30132	114735
416	30204	114661
417	30281	114605
418	30353	114532
419	30439	114509
420	30518	114463
421	30600	114425
422	30675	114362
423	30750	114298
424	30821	114219
425	30887	114122
426	30961	114056
427	31025	113954
428	31105	113909
429	31173	113820
430	31244	113743
431	31326	113704
432	31402	113645
433	31468	113546
434	31543	113484
435	31621	113432
436	31688	113338
437	31757	113255
438	31821	113150
439	31900	113103
440	31976	113040
441	32044	112953
442	32109	112853
443	32173	112751
444	32257	112719
445	32329	112644
446	32423	112646
447	32507	112614
448	32584	112559
449	32651	112465
450	32728	112409
451	32791	112303
452	32861	112220
453	32930	112137
454	32999	112052
455	33068	111970
456	33141	111899
457	33206	111798
458	33275	111716
459	33350	111650
460	33415	111555
461	33486	111477
462	33546	111362
463	33621	111297
464	33709	111276
465	33788	111224
466	33857	111143
467	33928	111063
468	34002	110996
469	34067	110900
470	34135	110812
471	34205	110734
472	34270	110636
473	34348	110582
474	34426	110527
475	34503	110467
476	34573	110390
477	34642	110306
478	34712	110225
479	34781	110141
480	34847	110050
481	34915	109960
482	34986	109885
483	35052	109793
484	35126	109724
485	35202	109665
486	35285	109622
487	35346	109515
488	35408	109412
489	35487	109358
490	35565	109303
491	35633	109217
492	35703	109136
493	35798	109133
494	35876	109079
495	35947	109002
496	36015	108915
497	36085	108837
498	36154	108751
499	36218	108655
500	36284	108562
501	36358	108495
502	36427	108413
503	36500	108341
504	36587	108312
505	36656	108230
506	36725	108149
507	36799	108080
508	36865	107988
509	36934	107905
510	36999	107812
511	37073	107746
512	37139	107654
513	37205	107561
514	37269	107467
515	37336	107380
516	37421	107341
517	37492	107265
518	37563	107190
519	37633	107110
520	37702	107028
521	37779	106969
522	37847	106885
523	37928	106837
524	38008	106784
525	38078	106706
526	38151	106635
527	38237	106602
528	38301	106506
529	38367	106415
530	38435	106330
531	38505	106252
532	38574	106169
533	38653	106117
534	38726	106045
535	38801	105980
536	38874	105910
537	38943	105827
538	39027	105786
539	39103	105724
540	39175	105651
541	39254	105597
542	39322	105512
543	39389	105424
544	39458	105343
545	39541	105299
546	39627	105262
547	39699	105187
548	39772	105118
549	39843	105042
550	39915	104967
551	39982	104881
552	40070	104850
553	40143	104779
554	40213	104700
555	40283	104620
556	40348	104530
557	40414	104439
558	40495	104390
559	40561	104301
560	40626	104209
561	40696	104131
562	40763	104045
563	40840	103983
564	40909	103903
565	40989	103849
566	41053	103755
567	41125	103681
568	41194	103601
569	41258	103509
570	41335	103447
571	41401	103359
572	41469	103276
573	41534	103184
574	41611	103123
575	41686	103059
576	41751	102966
577	41822	102892
578	41902	102837
579	41970	102755
580	42047	102693
581	42128	102642
582	42216	102608
583	42285	102527
584	42351	102440
585	42416	102349
586	42483	102264
587	42549	102176
588	42618	102097
589	42706	102060
590	42776	101983
591	42854	101924
592	42921	101837
593	42990	101757
594	43062	101685
595	43126	101592
596	43208	101543
597	43274	101455
598	43342	101374
599	43411	101294
600	43484	101223
601	43556	101148
602	43638	101099
603	43717	101043
604	43782	100954
605	43847	100864
606	43922	100796
607	43991	100717
608	44063	100643
609	44132	100565
610	44203	100488
611	44303	100478
612	44368	100390
613	44439	100313
614	44533	100289
615	44611	100230
616	44688	100168
617	44755	100083
618	44825	100007
619	44895	99928
620	44962	99843
621	45025	99751
622	45102	99688
623	45172	99611
624	45245	99539
625	45311	99453
626	45378	99370
627	45444	99283
628	45512	99200
629	45580	99118
630	45648	99037
631	45716	98954
632	45789	98884
633	45865	98819
634	45930	98731
635	45996	98646
636	46072	98582
637	46140	98500
638	46206	98414
639	46275	98336
640	46349	98266
641	46438	98229
642	46503	98142
643	46580	98078
644	46646	97993
645	46715	97913
646	46790	97848
647	46863	97776
648	46927	97686
649	46992	97600
650	47061	97521
651	47127	97435
652	47195	97353
653	47265	97277
654	47336	97203
655	47405	97123
656	47474	97044
657	47548	96975
658	47616	96893
659	47685	96816
660	47755	96739
661	47836	96683
662	47911	96618
663	47980	96539
664	48045	96453
665	48114	96373
666	48188	96305
667	48252	96216
668	48321	96138
669	48388	96055
670	48459	95979
671	48544	95932
672	48611	95850
673	48679	95770
674	48746	95686
675	48837	95651
676	48906	95573
677	48991	95526
678	49058	95443
679	49125	95361
680	49188	95270
681	49255	95187
682	49325	95112
